no,name,name_short,furigana,category,nav_categories,has_answer,pamphlet_page,booth
70,㈱テクノプラン,,てくのぷらん,,物流・運搬|工具・消耗品,true,,B-05
71,デンヨー㈱,,でんよー,,溶接・電源|工具・消耗品,true,,F-11
72,東空販売㈱,,とうくうはんばい,,油圧・空圧,true,,G-17
73,東武トップツアーズ㈱,,とうぶとっぷつあーず,,,false,,G-20
74,㈱東洋アソシエイツ,,とうようあそしえいつ,,切断・電動工具|工具・消耗品,true,,G-06
75,㈱東洋化学商会,,とうようかがくしょうかい,作業環境向上ブース,工具・消耗品,false,2,C-13
76,東横サポート㈲,,とうよこさぽーと,作業環境向上ブース,冷却・空調,false,2,C-13
77,㈱トーキン,TOKIN ARC,とーきん,,溶接・電源,true,,B-16
78,㈱トーヨーセーフティ,,とーよーせーふてぃ,,保護具・安全,false,,B-12
79,㈱十川ゴム,,とがわごむ,,油圧・空圧,false,,G-11
80,土牛産業㈱,,どぎゅうさんぎょう,溶接後工程ツール,工具・消耗品,true,,G-08
81,ＴＯＮＥ㈱,,とね,切断・電動工具,工具・消耗品|切断・電動工具,false,3,E-02
82,㈱ナカトミ,NAKATOMI,なかとみ,,冷却・空調,true,,B-18
83,日動工業㈱,NICHIDO,にちどうこうぎょう,,工具・消耗品,true,,D-15
84,日光物産㈱,,にっこうぶっさん,,保護具・安全,true,,B-15
85,ニツコー熔材工業㈱,,にっこーようざいこうぎょう,,溶接・電源,true,,A-06
86,日鉄溶接工業㈱,,にってつようせつこうぎょう,,溶接・電源,false,,A-11
87,日東工器㈱,,にっとうこうき,,油圧・空圧|切断・電動工具,true,,B-19
88,日本アイ・エス・ケイ㈱,,にっぽんあいえすけー,,物流・運搬|保護具・安全,true,,D-13
89,日本ウエルディング㈱,NIPPON WELDING,にっぽんうえるでぃんぐ,ファイバーレーザー,溶接・電源|切断・電動工具,true,4,D-07
90,日本カノマックス㈱,,にっぽんかのまっくす,,工具・消耗品,true,,C-12
91,日本クランプ㈱,,にっぽんくらんぷ,,物流・運搬,false,,C-17
92,日本ニューマチック工業㈱,,にっぽんにゅーまちっくこうぎょう,,油圧・空圧|切断・電動工具,false,,G-13
93,㈱日本フラッシュ,,にほんふらっしゅ,,溶接・電源,false,,F-13
94,日本ホイスト㈱,,にっぽんほいすと,,物流・運搬,false,,D-14
95,日本ワグナー・スプレーテック㈱,,にほんわぐなーすぷれーてっく,,油圧・空圧,true,,B-01
96,ニューレジストン㈱,,にゅーれじすとん,,切断・電動工具|工具・消耗品,true,,A-10
97,㈱ノビテック,,のびてっく,溶接カメラ・保護具,溶接・電源|保護具・安全,true,2,E-04
98,㈱HiPAPhotonicsJapan,,はいぱふぉとにくすじゃぱん,ファイバーレーザー,溶接・電源|切断・電動工具,true,3,D-08
99,長谷川工業㈱,Hasegawa Kogyo,はせがわこうぎょう,安全・快適ソリューション,保護具・安全|物流・運搬,true,,"E-06, H-04"
100,㈱ハタヤリミテッド,HATAYA,はたやりみてっど,,工具・消耗品,true,,B-21
101,パナソニック㈱,,ぱなそにっく,ロボット・溶接機,ロボット・自動化|溶接・電源,false,3,G-04
102,ＢＸテンパル㈱,,びーえっくすてんぱる,,保護具・安全|冷却・空調,true,,B-13
103,㈱ピカコーポレイション,,ぴかこーぽれいしょん,,保護具・安全,false,,A-02
104,㈱日立産機システム,,ひたちさんきしすてむ,,油圧・空圧,true,,F-03
105,㈱ビック・ツール,,びっくつーる,切断・電動工具,切断・電動工具|工具・消耗品,true,4,B-03
106,ファナック㈱,,ふぁなっく,協働ロボット,ロボット・自動化,false,2,E-04
107,㈱フジ,FUJI,ふじ,,物流・運搬,true,,A-01 / 主-16
108,㈱フジ医療器,,ふじいりょうき,,,false,,G-25
109,不二空機㈱,,ふじくうき,,油圧・空圧|切断・電動工具,true,,D-01
110,富士製砥㈱,,ふじせいと,,切断・電動工具|工具・消耗品,true,,C-19
111,富士電線販売㈱,FUJI WIRE,ふじでんせんはんばい,,工具・消耗品,true,,D-05
112,ブルマン㈱,,ぶるまん,,物流・運搬|工具・消耗品,false,,G-22
113,㈱プロスパー,PROSPER,ぷろすぱー,,,true,,G-27
114,フロニウスジャパン㈱,,ふろにうすじゃぱん,溶接・電源,溶接・電源,false,2,E-04
115,㈱ホータス,HOTAS,ほーたす,,切断・電動工具|工具・消耗品,true,,A-12
116,㈱ホタルクス,,ほたるくす,,工具・消耗品,true,,C-11
117,ボッシュ㈱,BOSCH,ぼっしゅ,,切断・電動工具|工具・消耗品,true,,D-12
118,マーテック㈱,,まーてっく,,物流・運搬|油圧・空圧,false,,A-17
119,マイト工業㈱,,まいとこうぎょう,溶接・電源,溶接・電源,false,3,B-20
120,マツモト機械㈱,MAC-WELS,まつもときかい,,溶接・電源,true,,E-05
121,マツモト産業㈱エクセル貿易事業部,MAC-EXE,まつもとさんぎょうえくせるぼうえきじぎょうぶ,,物流・運搬|工具・消耗品,true,,E-01 / 主-15
122,三木ネツレン㈱,,みきねつれん,,,false,,A-05
123,三菱電機㈱,,みつびしでんき,板金加工機,溶接・電源|切断・電動工具,true,2,H-09
124,三菱電機フィナンシャルソリューションズ㈱,,みつびしでんきふぃなんしゃるそりゅーしょんず,板金加工機,溶接・電源|切断・電動工具,true,2,H-08
125,㈱三ッ星,,みつぼし,,物流・運搬|油圧・空圧,false,,A-16
126,㈱ムラキ,,むらき,,工具・消耗品,true,,D-04
127,村田機械㈱,,むらたきかい,板金加工機,溶接・電源|切断・電動工具,true,2,H-06
128,明大㈱,MEIDAI,めいだい,,,true,,A-04
129,㈱メサック,,めさっく,,ロボット・自動化,false,2,E-04
130,㈱モトユキ,,もとゆき,切断・電動工具,切断・電動工具,true,3,A-07
131,ヤサカ産業㈱,,やさかさんぎょう,,,false,,C-05
132,柳瀬㈱,YANASE,やなせ,,切断・電動工具|工具・消耗品,true,,A-15
133,㈱ヤマダコーポレーション,,やまだこーぽれーしょん,作業環境向上ブース,保護具・安全,true,,C-03
134,ヤマト産業㈱,YAMATO,やまとさんぎょう,,溶接・電源,true,,B-04
135,やまびこジャパン㈱,shindaiwa,やまびこじゃぱん,動力機械,溶接・電源,true,,F-14
136,山本光学㈱,,やまもとこうがく,,保護具・安全,true,,B-11
137,㈱友和,,ゆうわ,,工具・消耗品,true,,G-12
138,ヨコタ工業㈱,YOKOTA,よこたこうぎょう,,油圧・空圧,true,,F-10
139,㈱LA・PITA,,らぴた,作業環境向上ブース,保護具・安全,false,2,C-13
140,㈱理研オプテック,,りけんおぷてっく,,保護具・安全,false,,F-07
141,理研機器,,りけんきき,,油圧・空圧,true,,G-14
142,㈱ルッドスパンセットジャパン,,るっどすぱんせっとじゃぱん,リフティング機器,物流・運搬,true,,G-18
143,㈱レヂトン,RESITON,れぢとん,切断・電動工具,切断・電動工具|工具・消耗品,true,3,C-15
144,レッキス工業㈱,,れっきすこうぎょう,,切断・電動工具,false,,F-01
145,ロボットバンク㈱,,ろぼっとばんく,物流・運搬,物流・運搬|ロボット・自動化,false,2,E-04
146,ワーナーケミカル㈱,,わーなーけみかる,,溶接・電源|工具・消耗品,false,,G-09
147,㈱ワキタ,,わきた,,物流・運搬|冷却・空調,true,,G-01
148,三共㈱,,さんきょう,,,false,,
149,スリーエムジャパン㈱ (研磨材製品事業部),3M,すりーえむじゃぱん,切断・電動工具,切断・電動工具|工具・消耗品,true,3,H-11
